hotel,price,score,reviews_count,review_text,free_cancellation
Homity Holidays - Playa Granada - Aguacate Beach,†335,9.5,277,Exceptional,No Free Cancellation
HBE Boutique Espa√±a - Turismo de Interior,†375,8.8,344,Excellent,Free Cancellation
Vincci Frontaura,†379,8.6,3682,Excellent,Free Cancellation
ETH Pomer,†597,8.7,2631,Excellent,Free Cancellation
Halley Hotel & Apartments Affiliated by Meli√°,†233,8.9,3018,Excellent,Free Cancellation
Hipotels Natura Palace Adults Only,†832,9,2233,Wonderful,No Free Cancellation
Executive Sport,†320,7.6,1534,Good,Free Cancellation
Maison San Alfredo B&B,†440,9.4,1855,Wonderful,Free Cancellation
Hotel Valentin,†320,8.4,1190,Very Good,Free Cancellation
Novotel Madrid City Las Ventas,†708,8.6,3176,Excellent,No Free Cancellation
Hotel Montermoso,†280,8,4557,Very Good,Free Cancellation
Ocean Lounge,†230,8.2,543,Very Good,Free Cancellation
Turia Granada,†251,8.4,6539,Very Good,Free Cancellation
Hoteles Desconecta2,†610,9.2,652,Wonderful,No Free Cancellation
Casona De Torres,†358,9.2,389,Wonderful,No Free Cancellation
Hotel Rural Los Nogales,†506,9,336,Wonderful,Free Cancellation
Casa Palacio Rinc√≥n de la Catedral,†717,9.2,1322,Wonderful,No Free Cancellation
Axel TWO Barcelona 4 Sup - Adults Only,†326,8.3,2763,Very Good,No Free Cancellation
Hotel Mediterraneo Valencia,†467,8.7,4700,Excellent,No Free Cancellation
Hotel La Pradera de Marta,†240,8.2,418,Very Good,No Free Cancellation
Hotel Natursun,†223,7.8,4476,Good,No Free Cancellation
Agroturismo Son Burgues,†544,9.1,172,Wonderful,No Free Cancellation
Apartamentos Sharis,†274,9.1,865,Wonderful,Free Cancellation
Sol Pelicanos Ocas,†332,7.5,2271,Good,No Free Cancellation
Mercure Benidorm,†453,8.9,4146,Excellent,No Free Cancellation
Gran Hotel Sardinero,†308,8.9,3824,Excellent,No Free Cancellation
Hotel Santa Cristina Petit Spa,†380,8.5,1029,Very Good,Free Cancellation
Iberostar Waves Cala Millor - Adults Only,†348,8.7,598,Excellent,No Free Cancellation
Aparthotel Areu,†503,9,332,Wonderful,No Free Cancellation
Hostal Inn Madrid,†507,8.4,2800,Very Good,Free Cancellation
Gran Hotel Costa del Sol,†300,7.8,299,Good,Free Cancellation
Zenit Abeba,†565,8.6,3376,Excellent,Free Cancellation
Hotel Crisol de las R√≠as,†160,8.7,2096,Excellent,Free Cancellation
Port Benidorm Hotel & Spa 4* Sup,†356,8.6,5018,Excellent,No Free Cancellation
El Avenida Palace,†524,8.6,5300,Excellent,No Free Cancellation
Quinta Real Granada,†408,8.6,627,Excellent,No Free Cancellation
Hotel Don Marcos,†367,9.6,566,Exceptional,Free Cancellation
La Boheme Casa Rural,†300,9.6,112,Exceptional,Free Cancellation
Hostal Tastavins,†234,8.2,312,Very Good,No Free Cancellation
Apartamentos El Rinc√≥n de Usana Zona Zero,†696,9.9,615,Exceptional,Free Cancellation
atLumbreras16,†297,9.2,1899,Wonderful,No Free Cancellation
El Nogal Home,†216,8.4,1753,Very Good,Free Cancellation
Los Arcos,†275,8.4,1380,Very Good,Free Cancellation
Abad Toledo,†276,8.6,2664,Excellent,Free Cancellation
CASA BORAL- Comfort exclusivo en plena naturaleza - Valle del Silencio,†433,9.6,15,Exceptional,Free Cancellation
Habitaciones La Cuevona de Guitiriz Lugo,†274,9.3,454,Wonderful,No Free Cancellation
Hotel Amaltea by Executive Sport,†288,7.4,1930,Good,No Free Cancellation
Hotel Al-Andalus,†200,8,1198,Very Good,Free Cancellation
Hotel Rosa,†200,8.7,2125,Excellent,Free Cancellation
Barcel√≥ Tenerife,"†1,104",8.5,2273,Very Good,Free Cancellation
Casual Pop Art Benidorm,†192,8.1,5984,Very Good,Free Cancellation
Hotel Puerta de Cazorla,†200,8.4,823,Very Good,Free Cancellation
R2 Hotel Pajara Beach,†802,8.5,632,Very Good,Free Cancellation
Aventura & Relax Caba√±as Pe√±a la Higuera,†494,9.3,189,Wonderful,Free Cancellation
Hotel Coia de Vigo,†263,8.4,3358,Very Good,Free Cancellation
Hotel Bah√≠a,†282,8.9,6676,Excellent,Free Cancellation
Hotel Palacio Urgoiti,†294,8.7,1594,Excellent,No Free Cancellation
Hotel Spa Congreso,†253,7.5,1958,Good,Free Cancellation
Senator Granada,†223,8.4,3737,Very Good,No Free Cancellation
Masia Castellvi B&B,†386,9.3,361,Wonderful,Free Cancellation
Hotel Marisa,†195,8.4,5362,Very Good,No Free Cancellation
Hotel Oasis,†176,8.3,6023,Very Good,No Free Cancellation
Hotel Posada de Vallina by MiRa,†328,8.6,2888,Excellent,Free Cancellation
Hotel Las Tablas,†306,8.4,382,Very Good,No Free Cancellation
Finca Ses Fontanelles,†610,8.1,354,Very Good,No Free Cancellation
Akeah Hotel Gran V√≠a,†436,8.6,4477,Excellent,No Free Cancellation
Mas Serrat de la Teia,†743,9.2,36,Wonderful,No Free Cancellation
Catalonia El Pilar,†388,8.9,3781,Excellent,Free Cancellation
La Perla de Torrenueva,†397,9.6,36,Exceptional,Free Cancellation
Hotel Carlton,†577,8.8,5458,Excellent,No Free Cancellation
Hotel RH Portocristo & Wellness,†308,8.7,1981,Excellent,Free Cancellation
Casa Rural La Pe√±a,†717,9.8,14,Exceptional,Free Cancellation
Club JM Lanzarote,†434,8.6,280,Excellent,No Free Cancellation
SBH Costa Calma Beach Resort Hotel,†609,7.4,512,Good,Free Cancellation
Casa Duende del Tajo,†215,8,1712,Very Good,No Free Cancellation
Flying La Palma - Sostenible,†499,9.6,293,Exceptional,Free Cancellation
Villa MARTINA,†454,8.4,80,Very Good,Free Cancellation
Gran Hotel Guadalp√≠n Banus,†448,8,1889,Very Good,No Free Cancellation
AluaSun Doblemar,†252,7.6,4546,Good,Free Cancellation
Evenia Monte Alba,†547,8.1,269,Very Good,Free Cancellation
Occidental Jand√≠a Playa,†552,8,2151,Very Good,Free Cancellation
Royal Palm Resort & Spa - Adults Only,†620,8.7,2953,Excellent,Free Cancellation
Morar Ourense,†279,9.8,882,Exceptional,No Free Cancellation
Complejo Rural La Glorieta,†338,8.7,381,Excellent,Free Cancellation
esZentrico Suites Jerez,†274,8.7,1647,Excellent,Free Cancellation
Little Home Girona,†420,9.5,788,Exceptional,Free Cancellation
Calas Beach Corralejo,†410,9,442,Wonderful,Free Cancellation
Axel Hotel Madrid - Adults Only,†446,8.4,4144,Very Good,Free Cancellation
Casa Tur√≠stica Patio Cordob√©s - Parking privado en la Juder√≠a,†418,8.8,815,Excellent,No Free Cancellation
NH Marbella,†419,8.4,2425,Very Good,No Free Cancellation
Radisson RED Madrid,†751,8.7,6813,Excellent,No Free Cancellation
INNSiDE by Meli√° Fuerteventura ‚Äì Adults Only,"†1,080",9,777,Wonderful,Free Cancellation
Bright apartment Sea Senses with sea views,†580,8.1,9,Very Good,No Free Cancellation
Hostal Abel Victoriano,†338,7.9,3116,Good,Free Cancellation
Apartamentos La Santilar,†419,9.7,102,Exceptional,No Free Cancellation
Pension Venecia Gomerez,†208,8.3,1004,Very Good,No Free Cancellation
Casa Manuel y Ana Mar√≠a.,†300,9.6,133,Exceptional,Free Cancellation
Vincci Selecci√≥n Posada del Patio,†941,9.1,4343,Wonderful,Free Cancellation
Hotel LIVVO Lumm,†616,8.8,2084,Excellent,Free Cancellation
Hard Rock Hotel Marbella - Puerto Ban√∫s,†409,8.3,3315,Very Good,No Free Cancellation
Sol Costa Atlantis Tenerife,†668,8.2,2326,Very Good,No Free Cancellation
Canopy by Hilton Madrid Castellana,†831,8.7,2698,Excellent,No Free Cancellation
Casa Kalameta,†416,8.7,126,Excellent,No Free Cancellation
Casa del Capitel Nazar√≠,†431,8.6,2135,Excellent,Free Cancellation
Casa Rural La Madro√±a,†262,9.5,100,Exceptional,Free Cancellation
TORREMOCHA,†473,9.4,169,Wonderful,Free Cancellation
B Hotel,†397,8.6,3295,Excellent,No Free Cancellation
La Quinta Del Chocolatero,†368,8.8,111,Excellent,No Free Cancellation
ToledoRooms Palacios,†163,8.6,2154,Excellent,Free Cancellation
Hotel Don Paco,†272,8,11423,Very Good,No Free Cancellation
Can Passarells,†436,9.2,401,Wonderful,Free Cancellation
La Casa Del Miracle,†439,9.8,379,Exceptional,Free Cancellation
Elba Madrid Alcal√°,†628,8.8,8206,Excellent,Free Cancellation
Hotel Cortezo,†776,8.1,7230,Very Good,Free Cancellation
Catalonia Oro Negro,†621,8,2694,Very Good,Free Cancellation
Motel One Madrid-Plaza de Espa√±a,†486,8.8,3255,Excellent,No Free Cancellation
Apartamentos Real Lleida,†387,8.8,668,Excellent,Free Cancellation
SBH Hotel Royal M√≥nica,†632,7.5,851,Good,Free Cancellation
H10 Universitat,†660,9,2332,Wonderful,No Free Cancellation
Hampton By Hilton Alcobendas Madrid,†530,8.9,3316,Excellent,No Free Cancellation
Hotel Marquesa,†453,7.7,1746,Good,Free Cancellation
Ok Hostel Madrid,†480,8.9,12193,Excellent,Free Cancellation
Avent Verahotel,†460,8.6,966,Excellent,Free Cancellation
Hotel Marconi,†245,7.8,3681,Good,Free Cancellation
La Finca Resort,†554,8.5,256,Very Good,No Free Cancellation
Hotel California,†580,8,2660,Very Good,No Free Cancellation
Ca' La Conchin,†260,8.3,113,Very Good,Free Cancellation
Apartamentos Varadero Sea View,†306,8.3,137,Very Good,No Free Cancellation
Aldara Sitges,†255,8.4,493,Very Good,Free Cancellation
Apartamentos La Bola Suite,†321,9.3,1591,Wonderful,No Free Cancellation
EL TRASTERO DE PALMERO,†184,9,891,Wonderful,Free Cancellation
Hotel Do√±a Mar√≠a,†398,8.8,4055,Excellent,No Free Cancellation
ApartaSuites Alberca Deluxe,†326,9.2,1055,Wonderful,No Free Cancellation
Hotel Boutique Caireles,†213,8.6,1817,Excellent,No Free Cancellation
Home and CoLiving Pamplona,†535,7.8,566,Good,No Free Cancellation
Apartamento Perla de Mar,†610,9.7,16,Exceptional,No Free Cancellation
Apartamentos Deluxe San Julian,†269,8,516,Very Good,No Free Cancellation
ATICO LUXURY Marina D'or,†865,9.7,12,Exceptional,Free Cancellation
Abba Madrid,†610,8.8,2337,Excellent,Free Cancellation
Vincci Maritimo,†717,8.3,4873,Very Good,Free Cancellation
Hotel Boutique Palacio Ico - Adults Recommended,"†1,610",9.3,280,Wonderful,No Free Cancellation
Vincci Larios Diez,†710,9.3,3984,Wonderful,No Free Cancellation
Tomate Rooms,†392,9.2,1290,Wonderful,No Free Cancellation
Casa Mart√≠,"†1,339",9,30,Wonderful,No Free Cancellation
LaNave,†379,8,2136,Very Good,No Free Cancellation
La Villa del Karting,†331,8.7,243,Excellent,Free Cancellation
Hotel Palacio Garvey,†418,8.5,1337,Very Good,Free Cancellation
NH M√°laga,†568,8.7,2818,Excellent,No Free Cancellation
Sun & Palm Trees,†290,9.5,86,Exceptional,Free Cancellation
Gijon Surf Hostel,†170,8.3,1538,Very Good,No Free Cancellation
Hotel Rural El Nido de Pinares,†582,9.6,136,Exceptional,Free Cancellation
Hotel Rialto,†338,8.5,3658,Very Good,No Free Cancellation
Glamping The Teepee,†541,9.2,150,Wonderful,No Free Cancellation
"Radisson Blu Hotel, Madrid Prado",†840,8.8,2122,Excellent,No Free Cancellation
Abad√≠a Hotel,†207,8.5,4562,Very Good,No Free Cancellation
Astillerogane,†510,9.5,101,Exceptional,Free Cancellation
I'M Room Suites Nuevos Ministerios - Bernabeu 'Digital Access',†440,8.9,784,Excellent,Free Cancellation
Emperador,†584,8.7,8505,Excellent,No Free Cancellation
Hampton By Hilton Malaga Martiricos,†405,9,23,Wonderful,Free Cancellation
Tuc Blanc,†794,8.5,515,Very Good,Free Cancellation
AC Hotel Sants by Marriott,†534,8.2,1302,Very Good,No Free Cancellation
Hotel Pujol,†316,8.3,1745,Very Good,Free Cancellation
Los Corceles Casa Palacio,†323,8,762,Very Good,No Free Cancellation
Ibis Styles Madrid City Las Ventas,†474,8.6,3770,Excellent,No Free Cancellation
HM Ayron Park - Adults Only,†430,8.5,1309,Very Good,Free Cancellation
Casa Rural Senderismo,†428,9.2,153,Wonderful,No Free Cancellation
Hotel Real Colegiata San Isidoro,†304,8.9,5624,Excellent,Free Cancellation
FLEMING PLAYA PONIENTE,†187,7.9,2088,Good,Free Cancellation
Hotel Noguera El Albir,†260,8.8,2447,Excellent,Free Cancellation
Hotel Canal Ol√≠mpic,†295,7.8,1679,Good,Free Cancellation
"Holiday Inn Express San Sebastian de los Reyes, an IHG Hotel",†496,8.2,4760,Very Good,No Free Cancellation
AR Roca Esmeralda & SPA Hotel,†324,7.8,1550,Good,Free Cancellation
Hotel Spa Rio Ucero,†328,8,2663,Very Good,Free Cancellation
Apartamentos M√°laga Premium - Calle San Telmo,†408,8.6,1443,Excellent,No Free Cancellation
Hotel Atl√°ntico,†723,9.2,3561,Wonderful,Free Cancellation
La Casa de la Trinidad,†389,8.7,2488,Excellent,No Free Cancellation
Hotel 1898,†669,9,4180,Wonderful,No Free Cancellation
Casa rural Gerardo,†240,9.3,107,Wonderful,Free Cancellation
Abril Nerja,†232,8.9,1195,Excellent,No Free Cancellation
OLATZEA LANDA HOTELA,†280,9,202,Wonderful,No Free Cancellation
Alquer√≠a Calatrava B&B,†599,9.5,434,Exceptional,Free Cancellation
La Casa del M√©dico Hotel Boutique,†360,9.2,246,Wonderful,No Free Cancellation
La Casa del Cine en N√≠jar,†245,8.8,52,Excellent,Free Cancellation
Lushville - Luxurious Villa with Pool in Valencia,†376,8.6,77,Excellent,No Free Cancellation
Tandem Soho Suites,†456,9,2630,Wonderful,Free Cancellation
Hospedium Hotel Retiro del Maestre,†329,9.2,716,Wonderful,Free Cancellation
Alojamientos Mirape√±as,†323,9,165,Wonderful,No Free Cancellation
Hostal Flat55Madrid,†284,8,786,Very Good,Free Cancellation
Catalonia Atocha,†600,8.7,5973,Excellent,Free Cancellation
"Hortensia Suites Apartments ,Los Cristianos","†1,016",9.3,307,Wonderful,Free Cancellation
Catalonia Puerta del Sol,†640,9,2845,Wonderful,Free Cancellation
Eco Finca Sa Font Blava,†750,9.1,40,Wonderful,Free Cancellation
Sercotel Amister Art Hotel Barcelona,†350,8.1,2419,Very Good,No Free Cancellation
Cuencaloft paseo del Huecar,†370,8.9,146,Excellent,No Free Cancellation
Protur Naisa Palma Hotel,†594,9,4648,Wonderful,No Free Cancellation
Hotel Playa Sur Tenerife,†855,8.3,1266,Very Good,Free Cancellation
Arte Vida,†340,8.3,672,Very Good,No Free Cancellation
Sol Arona Tenerife,†735,7.2,4915,Good,No Free Cancellation
Mallorca Boutique Hotel,†347,7.9,1393,Good,No Free Cancellation
Apartamentos Tur√≠sticos Casa de La Borrega,†361,8.6,639,Excellent,Free Cancellation
Casa,†284,8.8,29,Excellent,Free Cancellation
Futurotel Sevilla,†146,7.6,1295,Good,No Free Cancellation
Hotel Nayra - Adults Only,†695,9.3,884,Wonderful,No Free Cancellation
Sierra de Gudar,†384,8.9,300,Excellent,Free Cancellation
Granaxperience Apartamentos La Maleta,†422,8.8,1240,Excellent,No Free Cancellation
Casa Rural La Fuensanta,†378,8.4,362,Very Good,No Free Cancellation
H10 Corregidor Boutique Hotel,†343,9.1,2180,Wonderful,No Free Cancellation
Catalonia Giralda,†290,8.6,5940,Excellent,Free Cancellation
La casa del duque 1,†262,8.2,12,Very Good,Free Cancellation
Yaramar,†364,7.9,89,Good,No Free Cancellation
GBH Hotel-Apartamentos Posidonia,†363,9.1,577,Wonderful,No Free Cancellation
Casa Natura Sunset Beach,†340,9.1,42,Wonderful,Free Cancellation
Meli√° La Palma,†663,8.3,143,Very Good,No Free Cancellation
Hotel Corona de Castilla Burgos,†239,8.1,1884,Very Good,Free Cancellation
Reul Alto Cortijos Rurales,†369,9.6,55,Exceptional,Free Cancellation
Finca El Chaparral,†450,9,149,Wonderful,No Free Cancellation
Ibis Styles A Coruna,†236,8.4,2179,Very Good,No Free Cancellation
El Ancla,†436,7.8,1308,Good,Free Cancellation
AGH Canet,†276,8.1,1330,Very Good,Free Cancellation
THB Lanzarote Beach,†482,7.7,859,Good,Free Cancellation
Duna Hotel Boutique,†244,8.6,2446,Excellent,Free Cancellation
Ona Valle Romano Golf & Resort,†256,8.3,9896,Very Good,Free Cancellation
Hotel Plaza Nueva,†223,8.4,2810,Very Good,Free Cancellation
Itaca Artemisa by Soho Boutique,†268,8.1,1702,Very Good,Free Cancellation
Casual del Cine Valencia,†242,8.1,4563,Very Good,Free Cancellation
UMusic Hotel Madrid,†780,8.8,3133,Excellent,No Free Cancellation
Hotel Cal Rei de Tall√≥,†448,8.8,162,Excellent,Free Cancellation
Apartamentos Soho Boutique Palillero,†280,9.3,1043,Wonderful,Free Cancellation
Casona de San Andr√©s Boutique Hotel,†302,8.5,4894,Very Good,Free Cancellation
Mart√≠,†596,9.5,54,Exceptional,Free Cancellation
La casa de Seraf√≠n y Manoli,†901,9.8,20,Exceptional,No Free Cancellation
Hostal R-Conecta,†308,9.2,53,Wonderful,Free Cancellation
Hotel Meli√° Bilbao,†960,8.7,3393,Excellent,Free Cancellation
H10 Casa Mimosa 4* Sup,"†1,383",9.3,1028,Wonderful,Free Cancellation
Hotel LIVVO Fataga,†534,8.4,1156,Very Good,Free Cancellation
NATURA ROOMS,†302,7.9,169,Good,Free Cancellation
Barcel√≥ Margaritas,†880,8.3,1827,Very Good,Free Cancellation
Anc√≥n Suites,†543,9.1,158,Wonderful,No Free Cancellation
Marine Lovers - Jacuzzi Fuerteventura,†564,9,77,Wonderful,Free Cancellation
Barcel√≥ Playa Blanca,"†1,008",8.4,765,Very Good,Free Cancellation
Apartamentos Boutique Granada Albaic√≠n 3000,†236,8.4,1189,Very Good,No Free Cancellation
Catalonia Las Vegas - Adults Only,†506,8,1470,Very Good,Free Cancellation
Leonardo Hotel San Sebasti√°n,†275,8.8,6480,Excellent,No Free Cancellation
Hotel & Restaurant Marina Palam√≥s,†222,8.3,2626,Very Good,No Free Cancellation
Hotel Guadalajara & Conference Center Affiliated by Meli√°,†371,8.3,1536,Very Good,No Free Cancellation
Atico Duplex 1¬™,†667,9,72,Wonderful,Free Cancellation
Homity Holidays - Playa Granada - Mar de Astrid,†364,9.5,378,Exceptional,No Free Cancellation
"Beautiful Penthouse apartment on Golden mile, near beach",†972,9.5,19,Exceptional,No Free Cancellation
Hospeder√≠a Ba√±os Arabes de C√≥rdoba Dos,†380,8.9,1311,Excellent,Free Cancellation
Hotel Hispania,†268,8,3794,Very Good,Free Cancellation
Sacristia de Santa Ana,†241,8.5,1567,Very Good,No Free Cancellation
Principado Benidorm Suites Levante,†371,9.7,158,Exceptional,No Free Cancellation
Fant√°stico D√∫plex con vistas y terraza,†344,8.8,32,Excellent,Free Cancellation
Petit Malaga Congress,†223,8.2,1655,Very Good,No Free Cancellation
Patio del Lino,†302,9,657,Wonderful,Free Cancellation
ALOJAMIENTO ARAHAL - RONDA,†280,9.2,729,Wonderful,No Free Cancellation
Casa Vestali,†189,9,839,Wonderful,No Free Cancellation
